Plot,Rep,Trt,PREC1CRAG,PREC2CRAG,PRES1CRAG,PRES2CRAG,PREC1LQ,PREC2LQ,PRES1LQ,PRES2LQ,PREC1NS,PREC2NS,PRES1NS,PRES2NS,PREC1LT,PREC2LT,PRES1LT,PRES2LT,PREC1GAL,PREC2GAL,PRES1GAL,PRES2GAL,PREC1GRAS,PREC2GRAS,PRES1GRAS,PRES2GRAS,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,NOCRUNCH1,CRUNCH1,NOCRUNCH2,CRUNCH2,NOCRUNCH3,CRUNCH3,NOCRUNCH4,CRUNCH4,NOCRUNCH5,CRUNCH5,NOCRUNCH6,CRUNCH6,NOCRUNCH7,CRUNCH7,NOCRUNCH8,CRUNCH8,NOCRUNCH9,CRUNCH9,NOCRUNCH10,CRUNCH10,Ryewt,Mort0DAT,NumPop0DAT,PopDist0DAT,Mort7DAT,NumPop7DAT,PopDist7DAT,Mort14DAT,NumPop14DAT,PopDist14DAT,Mort21DAT,NumPop21DAT,PopDist21DAT,Mort28DAT,NumPop28DAT,PopDist28DAT,28DATC1CRAG,28DATC2CRAG,28DATS1CRAG,28DATS2CRAG,28DATC1LQ,28DATC2LQ,28DATS1LQ,28DATS2LQ,28DATC1NS,28DATC2NS,28DATS1NS,28DATS2NS,28DATC1LT,28DATC2LT,28DATS1LT,28DATS2LT,28DATC1PIG,28DATC2PIG,28DATS1PIG,28DATS2PIG,28DATC1GAL,28DATC2GAL,28DATS1GAL,28DATS2GAL,28DATC1SCRAB,28DATC2SCRAB,28DATS1SCRAB,28DATS2SCRAB,28DATC1LCRAB,28DATC2LCRAB,28DATS1LCRAB,28DATS2LCRAB,28DATC1FP,28DATC2FP,28DATS1FP,28DATS2FP,28DATC1STK,28DATC2STK,28DATS1STK,28DATS2STK,28DATC1BARN,28DATC2BARN,28DATS1BARN,28DATS2BARN,28DATC1YF,28DATC2YF,28DATS1YF,28DATS2YF,Stand,Injury7DAP,Injury14DAP,Injury21DAP,Injury28DAP,TomMass,TomMassR,CRAGnum,CRAGwt,LQnum,LQwt,NSnum,NSwt,LTnum,LTwt,GALnum,GALwt,PIGnum,PIGwt,CRABnum,CRABwt,Fpnum,FPwt,BARNnum,BARNwt,YFnum,YFwt,STKnum,STKwt,GFnum,GFwt
207,2,Std2,0,0,,,1,8,4cm,2-6cm,6,0,2-6lf,,7,2,3-8cm,1-4cm,3,4,c-2lf,c-4lf,5,6,2lf,2lf,4,7,10,4,7,7,10,11,7,6,5.7,1.3,6.6,1.5,5.5,1.2,5.5,1.2,4.8,1.1,5.8,1.8,6.1,1.2,5.6,1.1,5.5,2.1,5,0.9,93.3,,20,,10,15,101,30,40,010,80,30,010,100,30,010,,,,,2,5,25cm,20cm,,,,,9,2,25cm,10cm,,,,,5,2,20cm,15cm,,,,,13,22,t,t,4,2,t,t,,,,,,,,,,,,,35,,0,10,80,19.33,2.21,13,434.52,4,81.3,,,6,47.63,2,1.49,1,4.95,24,48.88,4,9.18,,,2,1.06,,,,
208,2,Early3,0,1,,12cm,2,0,2-4cm,,0,0,,,10,12,5-10cm,3-1cm,2,8,c,c-4lf,17,14,2lf,2-4lf,2,4,5,8,6,6,5,7,5,6,4.2,0.8,4.3,1.6,4.6,1,4.2,0.7,3.9,0.5,4.8,1.5,5.6,0.9,5,1.4,3.8,0.6,4.4,1.1,122.6,,1,,30,2,010,80,10,010,85,30,010,100,50,010,,,,,,1,,20cm,,,,,4,4,20cm,12cm,1,,3cm,,,,,,,,,,11,3,t,t,5,4,t,t,,,,,,,,,2,4,t,t,34,,0,5,70,21.84,2.63,,,1,33.79,,,7,46.16,,,,,28,112.37,15,102.26,,,10,52.87,,,,
209,2,Early+O3,0,0,,,2,9,2lf,2-6cm,0,0,,,4,12,2-10cm,2-8cm,3,7,c-4lf,c-4lf,7,5,2lf,2lf,3,1,8,6,3,8,6,7,6,6,5.4,1,4.5,1.2,4.3,0.7,4.8,1,4.3,1.9,4.6,1.1,4.2,0.8,3.7,0.7,4.3,1.7,4,0.5,206.7,,0,,30,5,100,80,10,010,85,30,010,100,50,010,,,,,2,2,7cm,15cm,,,,,3,15,15cm,20cm,,,,,,,,,2,,t,,5,9,t,t,,3,,t,,,,,,,,,,4,,t,39,,0,10,60,35.74,5.46,,,3,26.75,,,14,119.13,,,,,16,96.53,1,3.04,,,14,69.28,,,,
210,2,Early+O2,0,0,,,2,3,4lf,2-4lf,0,0,,,2,10,3cm,2-6cm,1,10,2-4lf,c-4lf,0,8,,2lf,6,8,7,9,7,9,8,7,3,6,4.9,1.4,4.5,0.6,5.6,1.1,4.5,1.1,4.3,1.3,5,0.8,4.1,0.8,4.8,1.6,3.9,0.8,5.1,1.3,209.8,,0,,30,5,100,80,10,010,85,30,010,100,60,010,,,,,,,,,,,,,4,,20cm,,,,,,,,,,,,,,6,6,t,t,,3,,t,,,,,,,,,1,,t,,38,,0,5,50,55.06,8.19,,,,,,,5,39.65,,,,,24,110.17,3,39.77,,,5,14.42,1,0.8,,
211,2,Std+O2,0,0,,,8,5,1-4cm,2-5cm,0,1,,1cm,0,0,,,25,5,c-4lf,c-5lf,14,13,2lf,2lf,7,8,10,4,7,7,4,11,8,5,5.1,2,4.8,1.3,5.6,1,4,1.4,5.5,1.8,4.4,0.8,5.7,1.7,4.9,0.9,5.7,2.1,5.6,1.2,205,,8,,20,15,100,75,15,100,80,20,010,100,40,010,,,,,1,,6cm,,,,,,,,,,,,,,1,,20cm,,,,,,10,9,t,t,3,3,t,t,,,,,,,,,,,,,39,,0,5,60,41.95,9.62,,,3,8.28,,,,,1,0.78,,,39,256.76,6,50.76,,,,,,,,
212,2,Early1,0,0,,,6,11,c-4lf,2-16cm,2,0,c-2lf,,0,0,,,4,3,c-2lf,4lf,5,3,2lf,2lf,5,8,4,3,5,8,5,6,7,3,4.1,0.8,5.6,1.1,4.9,1.5,3.4,0.9,4.6,0.8,3.3,0.6,3.4,0.7,2.7,0.5,5,0.5,3.1,0.4,103.2,,2,,20,5,010,30,20,010,80,40,010,100,60,010,,,,,,5,,20cm,,,,,,,,,,,,,1,,25cm,,,,,,6,1,t,t,4,1,t,t,,,,,,,,,,,,,33,,0,5,70,23.65,3.86,,,3,123.16,,,,,2,4.32,,,23,137.86,5,39.62,,,,,2,0.68,,
213,2,Early+O1,0,0,,,12,16,2-10cm,3-10cm,0,0,,,1,2,3cm,3-5cm,7,12,c-4lf,c-4lf,8,6,2lf,2lf,6,8,5,4,9,2,11,8,7,5,3.4,0.8,4.4,1,5.5,1,4.2,0.7,4.6,1.2,4.5,0.9,4.3,0.9,5.3,1.6,3.9,0.8,5,1,197.1,,1,,20,10,100,50,20,100,80,30,010,100,60,010,,2,,10cm,7,5,25cm,15cm,,,,,,,,,,,,,1,,20cm,,,,,,4,6,t,t,,2,,t,,,,,,,,,,,,,32,,0,5,60,33.16,3.81,,,3,110.07,,,,,1,4.25,,,17,20.14,4,8.22,,,,,,,,
214,2,Std3,0,0,,,2,11,1-3cm,1-5cm,0,0,,,4,2,1-4cm,1-5cm,11,16,c-4lf,c-2lf,12,9,2lf,2lf,8,10,6,5,6,7,8,6,2,11,3.7,0.8,4.8,1.2,4.6,1,5,1.5,4.9,1.1,4.3,1.6,3.8,1.1,4.3,1.6,5.9,1.8,4.9,1.4,288.4,,9,,20,20,010,30,20,010,80,30,010,100,60,010,,,,,,1,,10cm,,,,,1,1,10cm,10cm,,,,,,,,,,,,,3,1,t,t,4,4,t,t,,,,,,,,,,,,,32,,0,5,70,20.25,2.3,,,3,8.78,,,2,6.37,,,,,26,53.47,,,,,,,2,2.5,,
301,3,Std3,26,9,2-12cm,,10,7,2-6cm,2-5cm,2,2,c-2lf,4lf,0,3,,5-7cm,2,5,c-2lf,c-32lf,3,15,2lf,2lf,4,8,6,11,6,5,2,6,3,4,4.5,0.9,4.1,0.8,4.6,1.2,4.6,0.8,5.5,1.1,5.1,1.3,4.9,1,5.6,1.2,6,1,3.1,0.6,134.1,,14,,10,30,101,20,30,010,80,20,010,100,30,010,10,3,40cm,35cm,3,4,30cm,20cm,,,,,,2,,12cm,,,,,,,,,1,,t,,,,,,1,,t,,,,,,,,,,,,,,32,,0,20,80,8.39,1.91,17,424.75,3,6.36,,,2,24.51,,,,,9,5.85,3,4.73,,,1,0.96,,,,
302,3,Early+O1,7,2,3-8cm,,7,2,2-5cm,2-4cm,0,12,,2-4lf,1,4,8cm,4-10cm,4,0,c-4lf,,1,13,2lf,2lf,4,6,6,5,4,8,6,8,5,7,4.6,1.5,4.2,0.9,4.4,0.8,4.2,0.6,4.9,1.2,3.6,0.6,4,1,4.7,1,5,0.8,5,1,187.7,,0,,20,10,100,20,20,010,80,30,010,100,30,010,4,,20cm,,3,3,20cm,20cm,,,,,6,,20cm,,,,,,,,,,,,,,7,3,t,t,,12,,t,,,,,,,,,,,,,36,,0,20,60,10.33,2.38,7,170.49,6,11.62,,,6,60.11,,,,,21,17.29,27,34.98,,,,,,,,
303,3,Std2,0,0,,,6,5,2-4cm,3-7cm,0,4,,c-4lf,9,1,4-6cm,6cm,5,2,c-4lf,1-3cm,21,40,2lf,2-3lf,7,6,6,7,9,7,8,8,3,5,4.4,1.3,5.9,1.2,2.7,0.5,5.9,1.4,3.4,1.1,5.8,1.3,4.9,1.3,6.4,1.2,5,1.1,4.1,0.6,289.5,,7,,15,30,010,20,30,010,80,20,010,100,20,010,,,,,3,3,15cm,20cm,1,,6cm,,2,2,10cm,25cm,,,,,,,,,,,,,6,1,t,t,7,16,t,t,,,,,,,,,,,,,35,,0,20,60,17.84,2.15,,,8,27.24,1,0.65,5,16.57,3,1.89,,,22,75.59,62,125.13,,,2,8.12,,,,
304,3,WF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,0,0,0,139.92,9.66,,,,,,,,,,,,,,,,,,,,,,,,
305,3,Std1,1,6,5cm,,0,3,,2-5cm,7,5,c-2lf,c-4lf,21,24,3-7cm,3-7cm,7,5,c-4lf,c-4lf,7,11,2lf,2lf,11,15,9,9,10,10,10,12,5,7,5.3,1.3,4.5,1.4,4.9,1.4,4.2,1.1,5.7,1,5,0.6,6.7,1.9,6.2,1.4,6.2,2,3.6,0.6,262.3,,7,,15,15,101,60,20,010,80,20,010,100,30,010,2,4,15cm,35cm,,2,,6cm,,,,,9,5,15cm,20cm,1,,7cm,,7,,15cm,,,,,,3,4,t,t,12,9,t,t,,,,,,,,,,,,,38,,0,10,70,11.29,1.92,3,113.82,,,,,27,54.2,5,5.68,,,4,17.12,34,59.46,,,1,3.55,,,2,7.07
306,3,Early3,0,0,,,4,0,2-5cm,,3,2,c-4lf,2lf,5,11,3-6cm,2-9cm,4,5,c-2lf,c-6lf,3,7,2lf,2lf,1,6,9,7,3,10,6,5,5,7,5.1,1,5.5,1,5.1,0.9,3.5,0.7,2.6,0.3,4.4,0.9,4.8,0.6,3.5,0.7,5.2,1.1,4.6,0.9,230.8,,1,,20,5,100,60,20,010,85,40,010,100,50,010,,,,,,,,,,,,,2,1,15cm,20cm,,,,,1,,5cm,,,,,,,1,,t,1,8,t,t,,,,,,,,,,1,,t,30,,0,10,60,17.24,4.79,,,,,1,0.32,4,56.75,1,1.04,,,,,22,121.74,,,3,10.34,,,1,80.15
307,3,Early+O3,0,0,,,3,3,2-5cm,2-4cm,6,0,2-4lf,,8,7,4-8cm,3-6cm,5,4,c-4lf,c-4lf,13,8,2lf,2lf,7,4,10,11,3,5,9,8,5,2,4.3,1,3.4,0.6,3.9,1.3,3.4,0.6,3.6,0.9,3.8,0.8,3.8,0.6,4.5,0.9,4.3,1.1,3.3,0.7,165.8,,2,,15,10,100,50,20,010,80,20,010,100,50,010,,,,,,3,,20cm,,,,,4,2,15cm,15cm,,,,,2,4,17cm,15cm,,,,,2,3,t,t,13,6,t,t,,,,,,,,,,,,,40,,0,20,50,20.52,3.21,,,1,10.38,,,5,36.91,5,24.13,,,14,95.86,25,111.3,,,18,78.74,,,,
308,3,Std+O2,2,0,5-7cm,,0,0,,,1,0,c,,8,4,2-7cm,2-5cm,6,9,2-4lf,c-4lf,20,16,2lf,2lf,7,12,9,7,7,4,13,15,1,4,5.6,1.3,6,1,5.1,1.3,4,1.5,4.8,0.8,5.6,1.2,4.9,1,5.1,1.1,5,0.9,5.3,1,168.1,,3,,15,10,100,10,20,100,80,15,010,100,30,010,1,,40cm,,,,,,,,,,3,1,10cm,15cm,,,,,2,1,20cm,20cm,,,,,2,,t,,4,2,t,t,,,,,,,,,5,9,t,t,36,,0,20,50,18.41,2.79,1,94.44,,,,,6,23.81,2,9,,,6,5.73,20,31.89,,,40,143.46,,,,
309,3,W,8,2,10-24cm,19cm,7,4,5-17cm,2-15cm,7,15,c-6lf,2-6lf,9,11,10-19cm,5-13cm,13,7,c-10lf,c-8lf,70,50,1-4lf,1-3lf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10cm,,1,4,8cm,5cm,5,3,6cm,5cm,3,2,13cm,15cm,,,,,8,,5cm,,,2,,t,3,5,t,t,5,2,t,t,,,,,1,,25cm,,,,,,39,,0,0,10,45.29,3.85,2,26.29,5,56.72,2,4.36,8,35.27,14,16.66,,,14,58.08,45,198.61,2,9.63,3,8.26,1,0.61,,
310,3,Early+O2,8,4,4-11cm,,4,6,2-6cm,3-5cm,9,3,2-6lf,2-4lf,13,7,3-10cm,3-7cm,4,5,c-4lf,c-4lf,8,6,2lf,2lf,4,6,9,4,8,6,4,6,5,7,5,2,3.2,0.7,4.8,1.3,5.3,0.8,4.2,0.6,4.2,0.8,5,0.8,3.8,0.6,4.6,1.1,4.5,0.7,169.7,,4,,30,5,100,30,5,010,85,20,010,100,30,010,8,4,30cm,30cm,3,3,15cm,15cm,,,,,10,5,12cm,12cm,,,,,3,2,15cm,10cm,,,,,2,,t,,4,8,t,t,,,,,,,,,,,,,39,,0,10,50,16.53,2.81,8,279.94,3,20.79,2,3.36,9,58.19,9,9.82,,,8,9.4,12,25.72,,,1,1.01,,,,
311,3,Early2,6,12,3-6cm,,5,2,3-5cm,2-4cm,0,0,,,4,7,3-5cm,3-6cm,6,14,c-4lf,c-4lf,6,7,2lf,2lf,10,8,3,7,7,2,4,5,5,3,4.2,1.1,3.2,0.5,2.6,0.4,4.1,0.8,4.4,0.8,3.3,1,3.6,0.7,3.4,0.4,4.3,0.9,4.5,0.6,152.3,,3,,20,2,010,30,5,010,85,20,010,100,30,010,3,4,35cm,35cm,1,,12cm,,2,,4cm,,3,2,10cm,20cm,,,,,2,1,15cm,6cm,,1,,t,7,4,t,t,2,,t,,,,,,,,,,,,,,34,,0,20,80,6.55,2.16,13,291.26,8,22.5,,,4,20.96,3,1.49,,,7,6.89,7,14.05,,,3,6.44,,,1,1.18
312,3,Std+O1,2,,5.8cm,,8,7,4-9cm,3-6cm,3,3,c-2lf,c-4lf,16,6,3-11cm,2-7cm,6,4,c-6lf,c-6lf,7,12,2lf,2lf,4,4,14,5,6,14,8,5,14,9,5.3,1.8,4.1,0.8,4.7,1.2,4.3,1.2,4.3,0.7,4,1,4.9,0.9,5,1.1,4,0.8,3.4,0.7,89.8,,8,,10,20,100,10,10,100,80,20,010,100,30,010,3,4,35cm,30cm,6,5,25cm,25cm,,,,,12,3,15cm,20cm,,2,,25cm,3,4,20cm,20cm,,,,,3,11,t,t,7,8,t,t,,,,,2,,t,,,6,,t,33,,0,20,60,15.47,3.64,7,235.75,9,47.02,,,12,24.32,6,4.23,,,10,11.37,9,10.23,,,7,22.4,,,,
313,3,Std+O3,0,4,,,7,9,2-4cm,2-7cm,0,0,,,4,16,2-4cm,3-9cm,13,17,c-4lf,c-4lf,6,11,2lf,2lf,4,7,2,6,8,7,10,3,4,4,3.7,0.4,4.5,1,3.8,0.8,4,1.2,4.7,1,5.2,1.1,5.3,1.2,4.5,1.1,4.8,1.3,5,0.9,95.3,,5,,10,30,100,20,30,100,85,20,010,100,40,010,2,,20cm,,1,1,15cm,25cm,,,,,4,6,25cm,25cm,,,,,3,3,15cm,7cm,,5,,t,3,4,t,t,3,,t,,,,,,,,,,1,1,t,t,32,,0,10,50,16.87,6.17,2,39.86,4,28.83,,,14,100.73,3,2.14,,,18,26.78,7,25.2,5,22.57,1,7.74,,,,
314,3,Early1,1,1,8cm,,9,8,2-12cm,2-6cm,1,0,2-4lf,,4,4,2-8cm,2-6cm,5,0,c-4lf,,3,5,2lf,2lf,8,10,8,3,2,5,8,15,6,5,4.8,0.9,4.4,1.1,4.6,0.9,4.8,0.9,5.4,1.4,4.1,0.6,4.6,0.8,3.7,0.7,3.3,0.5,3.8,0.8,102.1,,13,,5,10,110,20,20,010,80,40,010,100,40,010,2,,20cm,,7,6,30cm,30cm,,,,,5,5,20cm,15cm,,1,,15cm,4,,15cm,,,,,,3,4,t,t,1,8,t,t,,,,,,,,,,3,,t,32,,0,20,80,7.79,2.39,1,58.48,6,289.84,1,1.33,9,40.81,4,3.14,,,18,14.13,6,8.19,2,8,,,,,,
401,4,Early+O1,4,1,3-10cm,10cm,3,2,2-6lf,2lf,5,10,c-2lf,c-2lf,19,10,2-6lf,2-10cm,3,13,c-4lf,2-6lf,30,32,1-2lf,1-3lf,7,5,7,8,9,1,7,4,6,6,4.4,0.7,4.8,0.9,4.8,0.8,3.6,0.6,4.4,0.9,4.2,0.9,4.5,0.9,3.9,0.6,3.7,0.6,3.6,0.7,203.9,,0,,20,2,100,90,5,100,90,40,010,100,50,010,1,5,30cm,60cm,,2,,15cm,,,,,3,6,30cm,fl,,,,,,,,,,2,,3lf,2,9,t,t,3,3,t,t,,,,,2,1,t,t,2,2,t,t,37,,0,20,40,9.27,2.27,5,370.56,,,,,11,120.66,,,,,7,10.86,18,49.99,7,13.62,3,10.44,,,,
